trackId,event,seq,startUs,startSec,ptsMs,durationMs,extra
2,moof,2,48131,0.048131,,,frames=971
2,mdat,2,48131,0.8126598639455781,,22546.57596371849,478
2,moof,2,48609,0.048609,,,frames=971
2,mdat,2,48609,0.8126598639455781,,22546.57596371849,472
2,moof,2,49081,0.049081,,,frames=971
2,mdat,2,49081,0.8126598639455781,,22546.57596371849,482
2,moof,2,49563,0.049563,,,frames=971
2,mdat,2,49563,0.8126598639455781,,22546.57596371849,475
2,moof,2,50038,0.050038,,,frames=971
2,mdat,2,50038,0.8126598639455781,,22546.57596371849,464
2,moof,2,50502,0.050502,,,frames=971
2,mdat,2,50502,0.8126598639455781,,22546.57596371849,477
2,moof,2,50979,0.050979,,,frames=971
2,mdat,2,50979,0.8126598639455781,,22546.57596371849,474
2,moof,2,51453,0.051453,,,frames=971
2,mdat,2,51453,0.8126598639455781,,22546.57596371849,481
2,moof,2,51934,0.051934,,,frames=971
2,mdat,2,51934,0.8126598639455781,,22546.57596371849,487
2,moof,2,52421,0.052421,,,frames=971
2,mdat,2,52421,0.8126598639455781,,22546.57596371849,483
2,moof,2,52904,0.052904,,,frames=971
2,mdat,2,52904,0.8126598639455781,,22546.57596371849,478
2,moof,2,53382,0.053382,,,frames=971
2,mdat,2,53382,0.8126598639455781,,22546.57596371849,481
2,moof,2,53863,0.053863,,,frames=971
2,mdat,2,53863,0.8126598639455781,,22546.57596371849,480
2,moof,2,54343,0.054343,,,frames=971
2,mdat,2,54343,0.8126598639455781,,22546.57596371849,482
2,moof,2,54825,0.054825,,,frames=971
2,mdat,2,54825,0.8126598639455781,,22546.57596371849,474
2,moof,2,55299,0.055299,,,frames=971
2,mdat,2,55299,0.8126598639455781,,22546.57596371849,491
2,moof,2,55790,0.05579,,,frames=971
2,mdat,2,55790,0.8126598639455781,,22546.57596371849,478
2,moof,2,56268,0.056268,,,frames=971
2,mdat,2,56268,0.8126598639455781,,22546.57596371849,477
2,moof,2,56745,0.056745,,,frames=971
2,mdat,2,56745,0.8126598639455781,,22546.57596371849,477
2,moof,2,57222,0.057222,,,frames=971
2,mdat,2,57222,0.8126598639455781,,22546.57596371849,500
2,moof,2,57722,0.057722,,,frames=971
2,mdat,2,57722,0.8126598639455781,,22546.57596371849,495
2,moof,2,58217,0.058217,,,frames=971
2,mdat,2,58217,0.8126598639455781,,22546.57596371849,479
2,moof,2,58696,0.058696,,,frames=971
2,mdat,2,58696,0.8126598639455781,,22546.57596371849,479
2,moof,2,59175,0.059175,,,frames=971
2,mdat,2,59175,0.8126598639455781,,22546.57596371849,474
2,moof,2,59649,0.059649,,,frames=971
2,mdat,2,59649,0.8126598639455781,,22546.57596371849,469
2,moof,2,60118,0.060118,,,frames=971
2,mdat,2,60118,0.8126598639455781,,22546.57596371849,473
2,moof,2,60591,0.060591,,,frames=971
